0,1,2,3,4,5,6,7
,,,,,,,
,No. 16: Industry-wise Deployment of Gross Bank Credit ,,,,,,
,(₹ Crore),,,,,,
,Industry,Outstanding as on,,,,Growth(%),
,,"Mar. 21, 2025",2024,2025,,Financial year so far,Y-o-Y
,,,Dec. 27,Nov. 28,Dec. 31,2025-26,2025
,,1,2,3,4,%,%
,2 Industries (2.1 to 2.19),3985660,3893504,4219433,4413257,10.7,13.3
,2.1 Mining & Quarrying (incl. Coal),56818,53938,63042,64877,14.2,20.3
,2.2 Food Processing,219525,211985,210297,236770,7.9,11.7
,2.2.1 Sugar,28522,19889,15479,20369,-28.6,2.4
,2.2.2 Edible Oils & Vanaspati,20927,21798,21197,24850,18.7,14
,2.2.3 Tea,5084,6470,4962,5296,4.2,-18.1
,2.2.4 Others,164992,163827,168659,186254,12.9,13.7
,2.3 Beverage & Tobacco,35515,30671,37001,37450,5.4,22.1
,2.4 Textiles,277267,264056,280594,295291,6.5,11.8
,2.4.1 Cotton Textiles,107495,98417,101828,108972,1.4,10.7
,2.4.2 Jute Textiles,4288,4340,4769,4967,15.8,14.4
,2.4.3 Man-Made Textiles,49186,48667,49845,51060,3.8,4.9
,2.4.4 Other Textiles,116298,112631,124151,130291,12,15.7
,2.5 Leather & Leather Products,12980,12804,13363,13717,5.7,7.1
,2.6 Wood & Wood Products,27826,26601,29023,30312,8.9,14
,2.7 Paper & Paper Products,52848,51508,55634,57587,9,11.8
,"2.8 Petroleum, Coal Products & Nuclear Fuels",154179,139840,172308,194376,26.1,39
,2.9 Chemicals & Chemical Products,267815,263645,292402,302682,13,14.8
,2.9.1 Fertiliser,32011,31829,33023,34473,7.7,8.3
,2.9.2 Drugs & Pharmaceuticals,88524,87821,92078,95548,7.9,8.8
,2.9.3 Petro Chemicals,28797,27836,35752,36059,25.2,29.5
,2.9.4 Others,118482,116160,131549,136601,15.3,17.6
,"2.10 Rubber, Plastic & their Products",103465,98914,106098,108654,5,9.8
,2.11 Glass & Glassware,13443,12508,13490,13760,2.4,10
,2.12 Cement & Cement Products,59753,61542,63202,64559,8,4.9
,2.13 Basic Metal & Metal Product,433501,432757,478578,494162,14,14.2
,2.13.1 Iron & Steel,300156,306185,325440,335076,11.6,9.4
,2.13.2 Other Metal & Metal Product,133345,126572,153138,159086,19.3,25.7
,2.14 All Engineering,240136,227081,274666,296171,23.3,30.4
,2.14.1 Electronics,52863,50109,61109,68839,30.2,37.4
,2.14.2 Others,187273,176971,213557,227332,21.4,28.5
,"2.15 Vehicles, Vehicle Parts & Transport Equipment",119450,115495,127141,137486,15.1,19
,2.16 Gems & Jewellery,85814,87876,103392,110067,28.3,25.3
,2.17 Construction,160037,152439,163802,171001,6.9,12.2
,2.18 Infrastructure,1364369,1346090,1402230,1442457,5.7,7.2
,2.18.1 Power,692160,662760,754948,782253,13,18
,2.18.2 Telecommunications,123850,129505,111841,111963,-9.6,-13.5
,2.18.3 Roads,334147,341683,338571,343718,2.9,0.6
,2.18.4 Airports,9156,8733,6055,6426,-29.8,-26.4
,2.18.5 Ports,5916,6282,7683,8186,38.4,30.3
,2.18.6 Railways,13415,13158,8921,10102,-24.7,-23.2
,2.18.7 Other Infrastructure,185726,183969,174211,179810,-3.2,-2.3
,2.19 Other Industries,300921,303756,333171,341878,13.6,12.6
,"Note: With effect from December 31, 2025, definition of last reporting fortnight has been changed to the last day of the month under the Banking Laws (Amendment) Act 2025. Accordingly, the y-o-y growth rates from December 2025 onwards are based on end-of-month data for the current year and data for the last reporting fortnight (as per old definition) for the corresponding month of the previous year.",,,,,,
